startDate,timeStep,size,sizeNext,sizeChange,surv
10/3/05,0,36.83,66.63,29.8,1
10/3/05,0,24.2,53.26,29.06,1
10/3/05,0,28.63,39.27,10.64,1
10/3/05,0,22.2,48.24,26.04,1
10/3/05,0,22.27,42.07,19.8,1
10/3/05,0,31.14,58.77,27.63,1
10/3/05,0,27.23,64.91,37.68,1
10/3/05,0,25.93,55.52,29.59,1
10/3/05,0,28.39,63.21,34.82,1
10/3/05,0,31.54,57.69,26.15,1
10/3/05,0,39.45,68.94,29.49,1
10/3/05,0,21.69,34.12,12.43,1
10/3/05,0,24.82,59.15,34.33,1
10/3/05,0,22.34,44.92,22.58,1
10/3/05,0,25.39,52.45,27.06,1
10/3/05,0,25.36,40.76,15.4,1
10/3/05,0,21.7,41.54,19.84,1
10/3/05,0,27.57,54.61,27.04,1
10/3/05,0,24.88,41.85,16.97,1
10/3/05,0,32.48,61.35,28.87,1
10/3/05,0,27.83,54.7,26.87,1
10/3/05,0,26.63,59.36,32.73,1
10/3/05,0,19.06,45.73,26.67,1
10/3/05,0,38.36,61.32,22.96,1
10/3/05,0,36.05,68.62,32.57,1
10/3/05,0,28.01,46.15,18.14,1
10/3/05,0,22.16,48.14,25.98,1
10/3/05,0,25.29,59.24,33.95,1
10/3/05,0,40.31,60.27,19.96,1
10/3/05,0,24.9,51.96,27.06,1
10/3/05,0,26.3,51.21,24.91,1
10/3/05,0,25.01,56.04,31.03,1
10/3/05,0,22.65,42.43,19.78,1
10/3/05,0,19,34.4,15.4,1
10/3/05,0,27.84,45,17.16,1
10/3/05,0,42.36,47.65,5.29,1
10/3/05,0,30.12,60.2,30.08,1
10/3/05,0,26.15,48.5,22.35,1
10/3/05,0,29.93,56.86,26.93,1
10/3/05,0,43.21,75.38,32.17,1
10/3/05,0,32.28,53.11,20.83,1
10/3/05,0,32.25,54.56,22.31,1
10/3/05,0,31.6,53.94,22.34,1
10/3/05,0,38.77,66.28,27.51,1
