rhoVal,alphaVal,deltaVal,Leqs,Neqs,Heqs,initH,oystersAdded,popDist,tolCond,num.calcs
low,estimate,mid,39763.97913,11060285.35,56796.91352,120000,17787309.92,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,121000,17753991.71,distHarvest,18.46,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,122000,17720895.01,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,123000,17687964.43,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,124000,17655292.28,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,125000,17622804.72,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,126000,17590464.82,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,127000,17558327.98,distHarvest,18.46,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,128000,17526412.64,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,129000,17494681.89,distHarvest,18.46,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,130000,17463172.64,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,131000,17431788,distHarvest,4.61,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,132000,17400624.86,distHarvest,9.23,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,133000,17369697.07,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,134000,17338870.8,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,135000,17308266.04,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,136000,17277845.86,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,137000,17247573.36,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,138000,17217448.53,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,139000,17187526.75,distHarvest,18.46,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,140000,17157789.55,distHarvest,73.84,150
