startDate,timeStep,species,location,size,sizeNext,sizeChange,log.sizeChange,surv
2007-10-11,0,CV,WB,38.5,78.13248806,39.63248806,3.6796491874673,1
2007-10-11,0,CV,WB,37.9,85.11521499,47.21521499,3.85471619213048,1
2007-10-11,0,CV,WB,42.7,70.2,27.5,3.31418600467253,1
2007-10-11,0,CV,WB,36.1,59.7,23.6,3.16124671203156,1
2007-10-11,0,CV,WB,35,80.8,45.8,3.82428409112014,1
2007-10-11,0,CV,WB,36.9,70.02426448,33.12426448,3.50026607968251,1
2007-10-11,0,CV,WB,31.3,NA,NA,NA,0
2007-10-11,0,CV,WB,38.9,NA,NA,NA,0
2007-10-11,0,CV,WB,32.3,NA,NA,NA,0
2007-10-11,0,CV,WB,37.3,71,33.7,3.51749783735832,1
2007-10-11,0,CV,WB,41.5,71.5,30,3.40119738166216,1
2007-10-11,0,CV,WB,53.6,NA,NA,NA,0
2007-10-11,0,CV,WB,48.6,NA,NA,NA,0
2007-10-11,0,CV,WB,48.9,71.33859064,22.43859064,3.11078227297804,1
2007-10-11,0,CV,WB,44.8,83.0938993,38.2938993,3.64529059629278,1
2007-10-11,0,CV,WB,52.8,82.96532201,30.16532201,3.40669298679017,1
2007-10-11,0,CV,WB,38.6,NA,NA,NA,0
2007-10-11,0,CV,WB,39.7,76.19148721,36.49148721,3.59707900626348,1
2007-10-11,0,CV,WB,28.3,NA,NA,NA,0
2007-10-11,0,CV,WB,32,68.20442827,36.20442827,3.58918143925083,1
2007-10-11,0,CV,WB,42.6,82.76311799,40.16311799,3.69294911156293,1
2007-10-11,0,CV,WB,38.3,71.6,33.3,3.5055573969864,1
2007-10-11,0,CV,WB,37.5,NA,NA,NA,0
2007-10-11,0,CV,WB,44.3,NA,NA,NA,0
2007-10-11,0,CV,WB,50.2,91.17916207,40.97916207,3.71306369531034,1
2007-10-11,0,CV,WB,36.9,82.72638736,45.82638736,3.82486006844479,1
2007-10-11,0,CV,WB,35,60.9,25.9,3.25424296870549,1
2007-10-11,0,CV,WB,29.7,NA,NA,NA,0
2007-10-11,0,CV,WB,31.8,74.371651,42.571651,3.75118856226866,1
2007-10-11,0,CV,WB,40.1,81.44009555,41.34009555,3.72183286557171,1
2007-10-11,0,CV,WB,33,80.84217976,47.84217976,3.86790767214954,1
2007-10-11,0,CV,WB,31.1,NA,NA,NA,0
2007-10-11,0,CV,WB,33.9,74.1,40.2,3.69386699562498,1
2007-10-11,0,CV,WB,34.13305025,85.48272694,51.34967669,3.93865864015221,1
2007-10-11,0,CV,WB,38.2,NA,NA,NA,0
2007-10-11,0,CV,WB,25.3,67.47464168,42.17464168,3.74181913236749,1
2007-10-11,0,CV,WB,33.2,83.97634213,50.77634213,3.92743054000731,1
2007-10-11,0,CV,WB,36.4,84.01267916,47.61267916,3.86309909467504,1
2007-10-11,0,CV,WB,35.6,56.5,20.9,3.03974915897077,1
2007-10-11,0,CV,WB,37.5,69,31.5,3.44998754583159,1
2007-10-11,0,CV,WB,33.3,79.32564958,46.02564958,3.82919884065344,1
