"startDate","timeStep","species","location","size","sizeNext","sizeChange","log.sizeChange","surv"
2007-10-13,1,"CV","BP",85.3,NA,NA,NA,0
2007-10-13,1,"CV","BP",85.1,NA,NA,NA,0
2007-10-13,1,"CV","BP",62.8,87.9,25.1,3.22286784613774,1
2007-10-13,1,"CV","BP",64.2614498,NA,NA,NA,0
2007-10-13,1,"CV","BP",64.1,90.4,26.3,3.26956893918372,1
2007-10-13,1,"CV","BP",77.4,93.5,16.1,2.77881927199042,1
2007-10-13,1,"CV","BP",54.1,NA,NA,NA,0
2007-10-13,1,"CV","BP",75.1,90,14.9,2.70136121295141,1
2007-10-13,1,"CV","BP",53.1,NA,NA,NA,0
2007-10-13,1,"CV","BP",66.9,94.8,27.9,3.32862668882732,1
2007-10-13,1,"CV","BP",56.8,NA,NA,NA,0
2007-10-13,1,"CV","BP",64.1,NA,NA,NA,0
2007-10-13,1,"CV","BP",73.8,95.80527753,22.00527753,3.09128231231713,1
2007-10-13,1,"CV","BP",55.34674752,NA,NA,NA,0
2007-10-13,1,"CV","BP",54.7,73.9061007,19.2061007,2.95522797335522,1
2007-10-13,1,"CV","BP",59.9,NA,NA,NA,0
2007-10-13,1,"CV","BP",54.3,67.1,12.8,2.54944517092557,1
2007-10-13,1,"CV","BP",40,NA,NA,NA,0
2007-10-13,1,"CV","BP",58,83.97634213,25.97634213,3.25718620571781,1
2007-10-13,1,"CV","BP",65.9,NA,NA,NA,0
2007-10-13,1,"CV","BP",69.8,92.09794193,22.29794193,3.10449438407255,1
2007-10-13,1,"CV","BP",54,90.9,36.9,3.60821155104648,1
2007-10-13,1,"CV","BP",54.4,82.8,28.4,3.34638914516716,1
2007-10-13,1,"CV","BP",46.3,NA,NA,NA,0
2007-10-13,1,"CV","BP",49.5,NA,NA,NA,0
2007-10-13,1,"CV","BP",61.1,87.6,26.5,3.27714473299218,1
2007-10-13,1,"CV","BP",59.2,74.7,15.5,2.7408400239252,1
2007-10-13,1,"CV","BP",57.5,NA,NA,NA,0
2007-10-13,1,"CV","BP",55.8,92.36780912,36.56780912,3.59916832115146,1
2007-10-13,1,"CV","BP",66.6,78.68375597,12.08375597,2.49186206884849,1
2007-10-13,1,"CV","BP",48.2,77.30360934,29.10360934,3.37086219878848,1
2007-10-13,1,"CV","BP",65.3,95.6,30.3,3.41114771251532,1
2007-10-13,1,"CV","BP",74.5,88.7,14.2,2.65324196460722,1
2007-10-13,1,"CV","BP",59.3,NA,NA,NA,0
2007-10-13,1,"CV","BP",46.3,72.2,25.9,3.25424296870549,1
